#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	32.250196541210116	34.0	31.0	34.0	31.0	34.0
2	32.38785797225629	34.0	31.0	34.0	31.0	34.0
3	32.43162435877637	34.0	31.0	34.0	31.0	34.0
4	35.75894107376595	37.0	37.0	37.0	35.0	37.0
5	35.743562511700596	37.0	37.0	37.0	35.0	37.0
6	35.76144573735213	37.0	37.0	37.0	35.0	37.0
7	35.75989810859003	37.0	37.0	37.0	35.0	37.0
8	35.7567780063977	37.0	37.0	37.0	35.0	37.0
9	37.52514337913074	39.0	39.0	39.0	35.0	39.0
10-14	37.719235446427064	39.4	39.2	39.4	35.2	39.4
15-19	38.812668485542346	41.0	40.0	41.0	36.0	41.0
20-24	38.593140164321724	41.0	39.2	41.0	35.4	41.0
25-29	38.263380046899634	41.0	39.0	41.0	34.2	41.0
30-34	37.834648915610494	40.0	38.0	41.0	33.2	41.0
35-39	37.72541675672959	40.0	38.0	41.0	33.0	41.0
40-44	37.25131455127534	40.0	37.4	41.0	32.2	41.0
45-49	36.64216045783956	40.0	35.8	41.0	31.2	41.0
50-54	35.6071792945063	38.6	34.8	40.4	29.8	40.8
55-59	35.365838859255504	37.6	35.0	40.8	29.6	41.0
60-64	34.6810465561289	36.4	35.0	40.0	28.6	41.0
65-69	33.84067532168335	35.0	34.0	39.0	27.0	41.0
70-74	33.066993626012945	35.0	34.0	37.2	26.0	40.0
75-79	32.30158782585387	35.0	33.2	36.0	24.6	38.8
80-84	31.57883272130478	35.0	33.0	35.0	22.0	37.0
85-89	30.84453907726088	35.0	33.0	35.0	11.4	36.0
90	30.288823172039766	35.0	33.0	35.0	2.0	36.0
