#GC Content	Count
0	14080.0
1	8549.5
2	2510.0
3	1899.0
4	1931.0
5	2158.5
6	2414.0
7	2729.0
8	3065.5
9	3488.5
10	3728.0
11	3937.5
12	4484.5
13	5378.0
14	6798.0
15	9136.0
16	13115.0
17	19462.0
18	28940.0
19	42301.0
20	50026.0
21	60811.5
22	85552.0
23	116615.0
24	155234.5
25	203611.0
26	259841.0
27	324317.0
28	400417.0
29	486948.0
30	532490.0
31	585387.5
32	699833.0
33	829344.5
34	969340.0
35	1117103.0
36	1261851.5
37	1392194.0
38	1502951.0
39	1586654.0
40	1620925.0
41	1636405.0
42	1647541.0
43	1627351.5
44	1588490.0
45	1541101.0
46	1491584.5
47	1440887.5
48	1389682.5
49	1345451.0
50	1326871.0
51	1312485.5
52	1284705.5
53	1257699.5
54	1227693.0
55	1189182.0
56	1140014.0
57	1078077.0
58	1003681.0
59	921215.0
60	878260.0
61	833877.5
62	740499.5
63	645556.5
64	558130.5
65	478613.5
66	406670.5
67	342942.5
68	286192.5
69	235929.0
70	212592.0
71	192584.0
72	155210.5
73	122311.0
74	94705.0
75	72437.0
76	54332.5
77	40346.0
78	29935.0
79	22606.5
80	19611.0
81	17448.5
82	13737.5
83	11057.5
84	9060.5
85	7546.5
86	6293.5
87	5323.0
88	4564.5
89	3917.5
90	3663.0
91	3422.5
92	2900.5
93	2469.5
94	2141.0
95	1772.0
96	1408.0
97	1122.0
98	868.5
99	590.0
100	453.0
