#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	33.098973059898555	34.0	33.0	34.0	31.0	34.0
2	33.28419873357838	34.0	34.0	34.0	31.0	34.0
3	33.30261744927531	34.0	34.0	34.0	31.0	34.0
4	36.56356751513405	37.0	37.0	37.0	35.0	37.0
5	36.52046153678815	37.0	37.0	37.0	35.0	37.0
6	36.517839334203146	37.0	37.0	37.0	35.0	37.0
7	36.498469908650684	37.0	37.0	37.0	35.0	37.0
8	36.49680200965334	37.0	37.0	37.0	35.0	37.0
9	38.352261624273964	39.0	39.0	39.0	37.0	39.0
10-14	38.675175336992645	39.4	39.2	39.4	37.2	39.4
15-19	39.93116062837412	41.0	40.0	41.0	38.0	41.0
20-24	39.847164312955805	41.0	40.0	41.0	38.0	41.0
25-29	39.69187049396903	41.0	40.0	41.0	37.4	41.0
30-34	39.45566803191752	41.0	39.8	41.0	36.6	41.0
35-39	39.099644124686414	40.8	39.0	41.0	35.2	41.0
40-44	38.65701650083669	40.0	38.0	41.0	35.0	41.0
45-49	38.07995568592871	40.0	36.6	41.0	33.8	41.0
50-54	37.7438008623903	39.6	35.4	41.0	34.0	41.0
55-59	37.184262184512846	38.6	35.0	41.0	33.4	41.0
60-64	36.57682044693665	36.8	35.0	40.4	33.0	41.0
65-69	35.83332698280936	35.4	35.0	39.2	33.0	41.0
70-74	35.126653292872064	35.0	35.0	37.4	32.6	40.2
75-79	34.26126625678635	35.0	34.4	36.2	31.2	38.8
80-84	33.992708705633994	35.0	35.0	35.4	31.8	37.0
85-89	33.38041894674995	35.0	34.0	35.0	31.0	36.0
90	33.03299151510261	35.0	34.0	35.0	31.0	36.0
