#Base	%GC
1	46.40409308726818
2	44.287452656516436
3	44.428363219813356
4	46.95338600884567
5	45.945147898063304
6	47.06938851997782
7	46.70924764897798
8	45.587960809380064
9	46.10765980331789
10-14	46.37223849530134
15-19	46.42725331816134
20-24	46.614602838116895
25-29	46.776288628680376
30-34	46.961033322216736
35-39	46.93836638898634
40-44	47.033744403429985
45-49	47.0734761429075
50-54	47.081690214954875
55-59	47.080147684924974
60-64	47.14888737851409
65-69	47.079554356001516
70-74	47.128559452974066
75-79	47.14468946520574
80-84	47.13652837916638
85-89	47.15477488280497
90	47.218786108615866
