#GC Content	Count
0	16.0
1	16.0
2	21.5
3	34.0
4	56.0
5	76.5
6	120.0
7	191.5
8	257.5
9	359.0
10	428.0
11	546.0
12	844.5
13	1408.5
14	2593.0
15	4681.0
16	8284.0
17	14500.5
18	23799.0
19	36893.5
20	44590.0
21	55421.0
22	80295.5
23	111637.0
24	150635.0
25	198584.0
26	254942.5
27	320042.0
28	395734.5
29	482356.5
30	528276.0
31	581325.5
32	697105.0
33	830344.0
34	973675.5
35	1123246.5
36	1270059.0
37	1403660.0
38	1517327.0
39	1603028.5
40	1638600.0
41	1653739.0
42	1664122.0
43	1642076.0
44	1602096.5
45	1555106.0
46	1504206.0
47	1453261.5
48	1402381.5
49	1358468.5
50	1341090.0
51	1326366.0
52	1300115.5
53	1273483.0
54	1242597.5
55	1206218.5
56	1155817.5
57	1090140.5
58	1014496.5
59	930359.0
60	885990.0
61	839536.0
62	743245.0
63	646303.0
64	556338.5
65	474510.5
66	401733.5
67	336743.5
68	278576.5
69	227772.0
70	203953.0
71	183487.5
72	145726.0
73	112415.0
74	83733.5
75	61110.5
76	43300.0
77	29418.5
78	19405.5
79	12693.0
80	9966.0
81	8258.0
82	5394.5
83	3476.0
84	2255.5
85	1512.0
86	1016.0
87	704.0
88	497.0
89	349.0
90	306.0
91	255.5
92	164.5
93	96.0
94	61.5
95	43.5
96	22.0
97	10.0
98	6.0
99	5.5
100	7.0
